delta_d,delta_p,delta_h,Solub,,
14.5,2.9,4.6,0,Diethyl Ether,
14.7,12.3,22.3,1,Methanol,
14.9,4.5,8.2,0,Iso-Propyl Acetate,
15.3,0,0,0,Heptane,
15.3,18,6.1,1,Acetonitrile,
15.5,10.4,7,0,Acetone,Partial Soluble
15.8,8.8,19.4,1,Ethanol,
16,5.7,15.8,1,1-Butanol,
16,6.8,17.4,1,1-Propanol,
17,7.3,7.1,1,Methylene Chloride,
17,11,26,1,Ethylene Glycol,
17.8,3.1,5.7,1,Chloroform,
18,1.4,2,0,Toluene,
18.1,6.6,9.3,1,"1,3-Dioxolane",
18.4,6.3,13.7,1,Benzyl Alcohol,
18.4,16.4,10.2,1,Dimethyl Sulfoxide(DMSO),
