accuracy@4,precision@4,recall@4,F1@4,accuracy@3,precision@3,recall@3,F1@3,accuracy@2,precision@2,recall@2,F1@2
0.9615,0.9508,0.9447,0.9443,0.9615,0.9344,0.969,0.949,0.9692,0.9759,0.9608,0.9672
0.8693,0.8158,0.8426,0.8168,0.9281,0.8898,0.8408,0.8612,0.9346,0.9308,0.905,0.9167
0.8851,0.8035,0.8095,0.8034,0.9253,0.8547,0.8863,0.8682,0.931,0.9313,0.9288,0.9299
0.9398,0.9031,0.9388,0.9149,0.9549,0.9029,0.9707,0.9291,0.9549,0.9509,0.9589,0.9539
0.8898,0.9166,0.858,0.8663,0.9291,0.9492,0.9516,0.9464,0.9291,0.9392,0.9274,0.9285
0.9278,0.9119,0.8943,0.8983,0.9536,0.9335,0.9476,0.9388,0.9639,0.9724,0.9527,0.961
0.9462,0.9051,0.9344,0.9139,0.9462,0.8942,0.9575,0.9185,0.9538,0.9592,0.9447,0.9509
0.8366,0.779,0.8603,0.8059,0.9216,0.8627,0.8807,0.8713,0.9216,0.8991,0.91,0.9043
0.9195,0.8331,0.8895,0.8568,0.9425,0.8667,0.8997,0.881,0.9483,0.9482,0.9469,0.9475
0.9323,0.886,0.9468,0.9111,0.9549,0.9128,0.967,0.9344,0.9549,0.9518,0.9562,0.9537
0.8898,0.9314,0.8417,0.862,0.9213,0.9421,0.9125,0.9233,0.9213,0.9258,0.9201,0.9209
0.9072,0.8909,0.8705,0.8798,0.9536,0.9557,0.9476,0.9509,0.9588,0.9649,0.9485,0.9556
0.9154,0.8494,0.8984,0.8659,0.9231,0.8646,0.9395,0.8919,0.9231,0.9259,0.9124,0.9181
0.8758,0.8223,0.8763,0.8425,0.9346,0.8868,0.8868,0.8868,0.9346,0.9191,0.9191,0.9191
0.8793,0.7933,0.8058,0.797,0.9195,0.8515,0.8813,0.8638,0.9253,0.9262,0.9223,0.924
0.9398,0.8997,0.9388,0.9129,0.9398,0.8873,0.9621,0.9167,0.9398,0.9357,0.946,0.9389
0.8425,0.8765,0.782,0.8098,0.8819,0.9156,0.852,0.8729,0.8819,0.8872,0.8805,0.8812
0.9072,0.8783,0.8724,0.8735,0.9536,0.9335,0.9476,0.9388,0.9639,0.9724,0.9527,0.961
