accuracy@4,precision@4,recall@4,F1@4,accuracy@3,precision@3,recall@3,F1@3,accuracy@2,precision@2,recall@2,F1@2
0.9385,0.8795,0.9463,0.9062,0.9385,0.886,0.9542,0.9131,0.9462,0.945,0.9418,0.9433
0.8105,0.749,0.8418,0.7749,0.9216,0.852,0.8875,0.8686,0.9346,0.9114,0.9333,0.9213
0.8506,0.7549,0.7976,0.7724,0.8851,0.8253,0.8546,0.8371,0.8966,0.8976,0.8925,0.8945
0.9398,0.8864,0.9647,0.9171,0.9474,0.8985,0.9628,0.9229,0.9474,0.9436,0.9498,0.9462
0.9055,0.9455,0.8726,0.8931,0.9134,0.9382,0.924,0.9263,0.9134,0.923,0.9117,0.9126
0.9124,0.8944,0.8869,0.8891,0.9381,0.9299,0.9377,0.9333,0.9485,0.9503,0.9402,0.9448
0.9154,0.8484,0.9353,0.8817,0.9154,0.8584,0.9395,0.8886,0.9308,0.9263,0.9291,0.9276
0.8497,0.8007,0.8388,0.81,0.9281,0.8898,0.8642,0.876,0.9346,0.9244,0.9121,0.918
0.8736,0.7857,0.8333,0.805,0.9138,0.8566,0.9047,0.8751,0.9195,0.9212,0.9158,0.918
0.9474,0.8993,0.9686,0.9268,0.9474,0.8985,0.9628,0.9229,0.9474,0.9436,0.9498,0.9462
0.8819,0.9112,0.8476,0.8543,0.9213,0.9444,0.9462,0.9405,0.9213,0.9333,0.9194,0.9204
0.8969,0.8781,0.8581,0.8614,0.9381,0.9317,0.9365,0.9332,0.9485,0.9535,0.9376,0.9445
0.9231,0.8607,0.9205,0.8823,0.9231,0.8649,0.9412,0.893,0.9308,0.9322,0.9222,0.9266
0.8105,0.7359,0.802,0.7587,0.902,0.8323,0.8589,0.8449,0.915,0.8897,0.9055,0.897
0.8851,0.8036,0.8308,0.8126,0.931,0.8686,0.9181,0.8881,0.9368,0.938,0.9339,0.9357
0.9474,0.8993,0.9686,0.9268,0.9474,0.8985,0.9628,0.9229,0.9474,0.9436,0.9498,0.9462
0.8504,0.907,0.7848,0.8119,0.9055,0.931,0.8681,0.8907,0.9055,0.9075,0.9047,0.9052
0.8918,0.8662,0.8717,0.8686,0.9175,0.9096,0.9115,0.9105,0.9278,0.9219,0.9261,0.9239
