accuracy@4,precision@4,recall@4,F1@4,accuracy@3,precision@3,recall@3,F1@3,accuracy@2,precision@2,recall@2,F1@2
0.9154,0.853,0.9324,0.8848,0.9231,0.8738,0.9444,0.9018,0.9308,0.9263,0.9291,0.9276
0.7908,0.7975,0.8236,0.7691,0.9346,0.9339,0.8439,0.8772,0.9346,0.9385,0.8979,0.9154
0.8506,0.7457,0.7594,0.7497,0.908,0.8408,0.8729,0.8545,0.9195,0.9196,0.9171,0.9182
0.8797,0.8187,0.9007,0.8412,0.9323,0.89,0.9078,0.8971,0.9323,0.9313,0.9289,0.9301
0.8661,0.899,0.8197,0.8363,0.9213,0.9411,0.9113,0.9233,0.9213,0.9234,0.9205,0.921
0.8763,0.8489,0.8573,0.8527,0.9124,0.9055,0.9082,0.9067,0.9227,0.9159,0.922,0.9187
0.9308,0.8698,0.9427,0.8996,0.9385,0.8855,0.9559,0.9133,0.9462,0.9423,0.9453,0.9437
0.7974,0.7201,0.7994,0.7449,0.9085,0.8174,0.8483,0.8312,0.9346,0.9114,0.9333,0.9213
0.8908,0.8253,0.8351,0.8269,0.9425,0.8912,0.928,0.907,0.9425,0.943,0.9404,0.9416
0.8045,0.7679,0.8422,0.7733,0.9098,0.8722,0.8663,0.8675,0.9098,0.912,0.9016,0.9059
0.8898,0.9068,0.8313,0.8545,0.9134,0.9406,0.8372,0.8717,0.9134,0.9153,0.9143,0.9134
0.8918,0.8651,0.8773,0.8705,0.933,0.9232,0.9368,0.9298,0.9433,0.939,0.9412,0.9401
0.9385,0.8838,0.9561,0.9116,0.9538,0.9102,0.9657,0.9335,0.9615,0.9612,0.9579,0.9595
0.7974,0.7365,0.7994,0.7544,0.902,0.8387,0.8453,0.8414,0.902,0.877,0.8822,0.8795
0.8736,0.8047,0.7738,0.7765,0.9368,0.8634,0.8947,0.8767,0.9425,0.943,0.9404,0.9416
0.9398,0.8925,0.9374,0.912,0.9474,0.8967,0.9451,0.9176,0.9549,0.9509,0.9589,0.9539
0.8898,0.9185,0.8479,0.8558,0.9291,0.9308,0.9348,0.9303,0.9291,0.9354,0.9278,0.9287
0.8557,0.8122,0.8386,0.8241,0.9021,0.8762,0.9016,0.8877,0.9175,0.91,0.9178,0.9135
